session_id,duration,segments,tokens,speakers,speech_ratio,overlap_ratio,speaker_imbalance,english_ratio,rms_db,noise_floor_db,dynamic_range_db,clipping_ratio,wav_sha256,transcript_sha256,fold
001,28.555937,13,143,2,0.9539172,0.0201909,0.75062972,0.0,-20.671383,-48.480629,32.517029,0.0,4de1686278c7ac2ddcfc8044c965eb4f5ea122cf8acfb40e2e2fd4c41f2218ce,f5dff80e1b10a877d7087a243e35a48c9b795e51b81ccd8494d9d929ac7b5ecc,1
002,43.920063,18,208,2,0.90641948,0.06832454,0.52645192,0.0,-18.398386,-50.977318,37.861412,0.0,2d214b967c127134446d5a86aba3b0ce039519270fec239cce364abc159e5432,956ab60c35b6209785f93e10f5b2aed9fcd7eb7d435ec776f66a763a5f875219,2
003,41.979625,15,226,2,0.94927003,0.08933501,0.82791983,0.0,-20.062714,-49.172485,33.46106,0.0,257a9acf2d636bb00baf46bf181ea52a600ded23ef42bdbd5eade274719e39a6,14c81181f5fcd54fae7eae9291e2ef5d70d5b6bc877849a2aa619cb7793b3486,4
004,41.065125,19,170,2,0.78777308,0.07418856,0.62100719,0.0,-20.29532,-57.292461,41.764114,0.0,fe086f0bbe5b594b44e40838d0e2071e176f1e586e22a019ee89409b3ca456a6,9d0140298a7e4abf00d13ccefc437b276e5926fb26cd1cd76718bc293288cecf,1
005,43.62,16,200,2,0.89248051,0.0367326,0.6895441,0.0,-19.932603,-49.664944,34.259323,0.0,6c6623b2155c2159bb41d530df70bd57cd46813af68a663107701a2e87807e1f,e11aefb45a76a63ea5d28e36986401d43f6cb7d0c1196269c379900240d2afe2,3
006,44.445,25,230,2,0.88716391,0.10727872,0.6193312,0.0,-18.596197,-47.984398,33.920498,0.0,06a912ec854c53f359678b450ba1b4dba00cb1cdb6974df8ef941a8ca2f137ab,38bc538ae497230231c93e47e82c182ead4524631ecf0bef3ef84e3a0cd24e37,3
007,30.27,14,152,2,0.92170466,0.13978495,0.58993711,0.0,-17.625377,-46.900085,34.090206,0.0,a177297f3c1abc8ec105c28de9e0357074d002ed40eeac265e88a2b0b536af2a,26aae39dcad963d9a1cfa4d4836187744535c3110fb114fb58d30d1f4f577201,0
008,42.415,20,196,2,0.84663445,0.08103592,0.57934055,0.0,-19.812403,-53.25882,38.317558,0.0,1325b4b106760ed255c59ee7206d05a73690dc86d3452b1718ef0d387f6816e9,5f858edf2b69d847c9a8ee36fb88ddb287519a81cad5046d3c88acfe2868c488,2
009,41.339687,20,167,5,0.74335347,0.05955093,0.44379607,0.0,-16.85656,-49.105202,36.9617,0.0,7921548dc21f871bee3c609349d0d7ad575090811c13b7bc3699c7b81c9b2ab1,6c68567726e55b48504ef5d0170b0b996025b7efa0bd000e4d7006486124e938,3
010,43.4175,17,138,4,0.67230955,0.07228503,0.38817891,0.0,-19.343818,-52.433136,38.312336,0.0,1742f82d1b1baa71ced782fe508a4f4a77425c8c76da417eb16f7333320b4cca,874e8007bb1dda978202dfe2f794a732d68b165f2076f1d5751877ce1d5386dc,4
011,42.968875,21,195,4,0.82292124,0.02262443,0.59817478,0.0,-16.648217,-47.90699,35.758453,0.0,071a452134b132d6676da9f05c615751c7c75e6716036c8c99f68c22bab85f70,9070073ceafa91a2957f9753cc1baf0a12f64b16a84c5718268e2b5c997d0ac3,0
012,41.439563,19,155,4,0.7970644,0.00696337,0.6443175,0.0,-18.400657,-49.834591,36.24551,0.0,43bbfd5a086937b6484dece7a09e28fdee3cd42ae3cd192f2b566b7a697706ca,5ba1c4fa3f2b97577de28e3f44a2ab07a0dd399e5f5e5d9130c89cb66233132f,0
013,41.904063,19,153,4,0.79109275,0.05761689,0.66685617,0.0,-19.345445,-48.224464,33.683456,0.0,f4582a416c549c2fa1443737848307e7a30c397f1fa96229911c355204e93127,6a457c4f2bcab8717f30afc27e9b7ac5bd2bf617fe8af09f1d5d850ec8579e02,2
014,39.342062,15,147,3,0.69950578,0.06140988,0.66175967,0.0,-18.983454,-51.784016,37.783569,0.0,32b14ee0708d76316fd8dff372aea208fa0388c55625eb99c522bf3c5720da7b,8ad73cc81aa47431143d1d67f333f660e4654e2d4d673737b170dfe5c6ef3dd1,0
015,38.87,14,167,4,0.8129663,0.0,0.65158228,0.0,-17.980216,-46.522076,33.572029,0.0,e042570d2711c633697f6e1c48cc5e0dbe4dcf041da51c9e1876b17fc4d2f32f,6c577323109cc33085112d61540e992bc9d6120e3ef805ca7a0aa1b8beeafcac,4
016,40.455937,16,139,3,0.74673835,0.01489573,0.53489889,0.0,-17.899092,-50.700413,37.661709,0.0,31a466cf075501e58120cb5e82f8bde4799df2745eb3c2383a391516b4b497d9,355dd71da62848d3cd8095ffddf46bcbabdb6da775e899bd702572d64dde3a73,3
017,44.624063,19,206,3,0.88069077,0.01195929,0.73321599,0.0,-18.420042,-47.136433,32.944267,0.0,3db6b08bb328fa477054e51a5b3899612304a6101a5fc4bf7954a3dd44f88080,c3c464cac0d555f34f4b76c75657c36ffd46358d333697379991632b35efbcdc,2
018,44.601,16,159,4,0.73114953,0.09782275,0.39385475,0.0,-20.515829,-55.00782,38.807449,0.0,5cea79ca2f5e9948b14c741436856b64c3aee87774d55e1200f375665d60d5fc,cdf0a1b8725416af57283943dfd2dd87f6d2993d35a71308b5ad0d45c21c0931,3
019,44.047812,18,172,3,0.81298021,0.01284557,0.54314861,0.0,-18.132332,-50.611057,37.353497,0.0,8d43ad3245d01ace4bf3b82f84df802e378ea31538e6ac490d99393234dc47cb,cd30d6284c30da2b561280ee58c179e2ea913ab0d78655d2a7b680e5b1243cec,2
020,40.664938,21,185,3,0.88356216,0.02143056,0.66757493,0.0,-22.435126,-48.949646,31.204773,0.0,cf1d62de60a237fabe74d191e4b165457de13670ee307c18190116a71846ab34,fb46a27f3d8f64e7540e0d3933e849297916d1dd22099e300e0732be5b63b09e,2
